country_name,region,fdi_USA_2017 (million),fdi_USA_2018 (million),fdi_USA_2019 (million)
Kuwait,Asia,1123,1276,1256
Kyrgyz Republic,Europe ,0,0,0
Lao PDR,Asia,0,0,0
Latvia,Europe ,0,,
Lebanon,Asia,19,19,16
Lesotho,Africa,0,0,0
Liberia,Africa,457,466,461
Libya,Africa,,1,0
Liechtenstein,Europe ,,,
Lithuania,Europe ,,-4,
Luxembourg,Europe ,382605,312976,297052
"Macao SAR, China",Asia,19,,
Madagascar,Africa,-1,0,0
Malawi,Africa,0,0,0
Malaysia,Asia,1037,1218,981
Maldives,Asia,0,0,0
Mali,Africa,-2,-1,-1
Malta,Europe ,1576,1557,2040
Marshall Islands,Asia,10,,
Mauritania,Africa,0,0,0
Mauritius,Africa,373,487,4682
Mexico,Latin America and Other Western Hemisphere,20693,21050,21526
"Micronesia, Fed. Sts.",Asia,1,1,1
Moldova,Europe ,0,0,0
Monaco,Europe ,-27,-26,2
Mongolia,Asia,,-1,0
Montenegro,Europe ,0,0,0
Morocco,Africa,,-22,-21
Mozambique,Africa,1,-1,0
Namibia,Africa,0,2,0
Nauru,Asia,0,0,0
Nepal,Asia,1,-1,
Netherlands,Europe ,348836,462303,487079
New Zealand,New Zealand,1029,2107,2550
Nicaragua,Latin America and Other Western Hemisphere,7,-8,-17
Niger,Africa,0,0,0
Nigeria,Africa,51,81,105
"Korea, Dem. People’s Rep.",Asia,0,0,0
North Macedonia,Europe ,0,-1,-1
Norway,Europe ,22800,26007,24221
Oman,Asia,-9,15,-3
Pakistan,Asia,225,167,154
Palau,Asia,0,0,0
Panama,Latin America and Other Western Hemisphere,2466,2789,2965
Papua New Guinea,Asia,1,1,2
Paraguay,Latin America and Other Western Hemisphere,,-9,
Peru,Latin America and Other Western Hemisphere,177,195,209
Philippines,Asia,697,361,474
Poland,Europe ,,,
Portugal,Europe ,1101,1056,1100
Qatar,Asia,2452,,
Romania,Europe ,,3,-38
Russian Federation,Europe ,4355,4455,4371
Rwanda,Africa,0,0,0
Samoa,Asia,,,
San Marino,Europe ,0,0,0
Sao Tome and Principe,Africa,0,0,0
Saudi Arabia,Asia,6116,6912,6220
Senegal,Africa,,1,
Serbia,Europe ,7,3,-5
Seychelles,Africa,0,0,0
Sierra Leone,Africa,0,0,0
Singapore,Asia,18185,18267,21060
Sint Maarten (Dutch part),Latin America and Other Western Hemisphere,0,0,0
Slovak Republic,Europe ,10,14,-10
Slovenia,Europe ,8,6,5
Solomon Islands,Asia,0,0,0
Somalia,Africa,0,0,0
South Africa,Africa,3976,4013,4061
"Korea, Rep.",Asia,54183,56612,61822
South Sudan,Africa,0,0,0
Spain,Europe ,77816,83379,86796
Sri Lanka,Asia,47,66,67
St. Kitts and Nevis,Latin America and Other Western Hemisphere,-11,,
St. Lucia,Latin America and Other Western Hemisphere,,7,7
St. Martin (French part),Latin America and Other Western Hemisphere,0,0,0
St. Vincent and the Grenadines,Latin America and Other Western Hemisphere,2,-1,-1
Sudan ,Africa,0,0,0
Suriname,Latin America and Other Western Hemisphere,,-7,
Sweden,Europe ,51286,49546,52683
Switzerland,Europe ,274721,295783,300393
Syrian Arab Republic,Asia,0,0,0
Taiwan,Asia,7820,10512,11099
Tajikistan,Europe ,0,0,0
Tanzania,Africa,0,1,1
Thailand,Asia,2418,2136,1904
Timor-Leste,Asia,0,0,0
Togo,Africa,0,0,0
Tonga,Asia,0,0,0
Trinidad and Tobago,Latin America and Other Western Hemisphere,142,165,69
Tunisia,Africa,-14,1,1
Turkey,Europe ,1919,2175,2340
Turkmenistan,Europe ,0,0,0
Tuvalu,Asia,0,0,0
Uganda,Africa,0,0,0
Ukraine,Europe ,11,-3,0
United Arab Emirates,Asia,4871,5530,5099
United Kingdom,Europe ,487570,496622,505088
Uruguay,Latin America and Other Western Hemisphere,84,538,686
Uzbekistan,Europe ,0,0,0
Vanuatu,Asia,,5,
Vatican City,Europe ,0,0,0
"Venezuela, RB",Latin America and Other Western Hemisphere,1603,1673,1705
Vietnam,Asia,94,59,57
Western Sahara,Africa,0,0,0
"Yemen, Rep.",Asia,0,0,0
Zambia,Africa,-5,-6,-1
Zimbabwe,Africa,0,-3,0
